ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
11-1349,Big Quilcene Delta Acquisition,A,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,3,5,Number,Permit,Planning
11-1349,Big Quilcene Delta Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,0.00,20.13,Acres,Land Acquisition Fee Simple,Acquisition
11-1349,Big Quilcene Delta Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,8.00,0.71,Acres,Land Acquisition Fee Simple,Acquisition
11-1349,Big Quilcene Delta Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
11-1349,Big Quilcene Delta Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,0.00,2.58,Acres,Land Acquisition Fee Simple,Acquisition
11-1349,Big Quilcene Delta Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,17.52,30.13,Acres,,
11-1351,Lower Big Beef Creek Restoration Design,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1351,Lower Big Beef Creek Restoration Design,P,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.00,0.00,Acres,Cultural,Human
11-1351,Lower Big Beef Creek Restoration Design,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,1.50,0.00,Number,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,5.0,0.0,Acres,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Upland Habitat And Sediment Project,Planting for erosion and sediment control (C.6.f.1),Acres planted for erosion and sediment control (C.6.f.3),,0.0,0.0,Acres,Upland Plants,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Site Stewardship Project,Stream or streambank stewardship (C.11.b.1),Miles of Streambank provided stewardship (C.11.b.2),,0.00,0.00,Miles,Stewardship,Human
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,5.0,0.0,Acres,Remove Plants Invasive,Waste
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Upland Habitat And Sediment Project,Road abandonment (C.6.d.1),Miles of Road Abandoned (C.6.d.2),,0.00,0.00,Miles,Infrastructure,Human
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,0.0,0.0,Acres,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.20,0.00,Miles,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.00,0.00,Miles,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Upland Habitat And Sediment Project,Road abandonment (C.6.d.1),Average width of road abandoned (in whole yards) (C.6.d.3),,0,0,Yards,Infrastructure,Human
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,3,0,Number,In-stream Installation,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.00,0.00,Miles,Remove Armor,Shoreline Restoration
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,0.0,0.0,Acres,Remove Armor,Shoreline Restoration
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.3,0.0,Acres,In-stream Installation,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,5.00,0.00,Acres,Cultural,Human
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.40,0.00,Miles,In-stream Installation,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Off-Channel Stream Created (C.4.c.4),,0.00,0.00,Miles,Channel Connectivity,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,General restoration activities,Restoration signs,Number of signs installed,,0,0,Number,Infrastructure,Human
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Acres of Habitat Made Available To Salmonids through dike or berm modification/removal (C.9.d.3),,0.4,0.0,Acres,Remove Dike,Fish Passage / Flood Protection
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,10.0,0.0,Acres,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Stream Treated for channel reconfiguration and connectivity (C.4.c.3),,0.00,0.00,Miles,Channel Connectivity,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,3,0,Number,In-stream Installation,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Miles Of Dikes Removed (C.9.d.2),,0.28,0.00,Miles,Remove Dike,Fish Passage / Flood Protection
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Instream Pools Created/Added (C.4.c.6),,0,0,Number,Channel Connectivity,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Acres Of Channel/Off-Channel Connected Or Added (C.4.c.5),,0.0,0.0,Acres,Channel Connectivity,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,5.0,0.0,Acres,Riparian,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.00,0.00,Miles,Streambank Stablized,Summary Metric
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,45,0,Yards,In-stream Installation,Habitat
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Permits,Obtain permits,Number of permits required for implementation of project,,6,1,Number,Permit,Planning
11-1354,Dosewallips Floodplain & Estuary Resoration -2011,R,Active,SALMON FED PROJ,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.40,0.00,Miles,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,0.1,0.1,Acres,Remove Plants Invasive,Waste
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Upland Habitat And Sediment Project,Planting for erosion and sediment control (C.6.f.1),Acres planted for erosion and sediment control (C.6.f.3),,0.1,0.1,Acres,Upland Plants,Habitat
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Site Stewardship Project,Restored land maintained (C.11.c.1),Acres of restored land maintained (C.11.c.2),,5.0,5.0,Acres,Stewardship,Human
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.1,0.1,Acres,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,0.1,0.1,Acres,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.01,0.01,Miles,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.10,0.10,Miles,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,General restoration activities,Restoration fencing and gates,Linear feet of fencing,,0,0,Feet,Livestock,Exclusion
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.00,5.00,Acres,Cultural,Human
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,General restoration activities,Restoration fencing and gates,Number of gates,,1,1,Number,Livestock Gates,Exclusion
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,5.00,5.00,Acres,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.20,0.20,Miles,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,0,Number,Permit,Planning
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,5.00,0.00,Acres,,
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,1.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.1,0.1,Acres,Riparian,Habitat
11-1356,Lower Mainstem Chimacum Creek Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,4.00,5.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Upland Habitat And Sediment Project,Road abandonment (C.6.d.1),Average width of road abandoned (in whole yards) (C.6.d.3),,10,0,Yards,Infrastructure,Human
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Upland Habitat And Sediment Project,Road abandonment (C.6.d.1),Miles of Road Abandoned (C.6.d.2),,0.10,0.00,Miles,Infrastructure,Human
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,4.0,0.0,Acres,Remove Plants Invasive,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Wetland Project,Total Acres Of Wetland Area Treated (C.8.b),,,4.5,0.0,Acres,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,6.5,0.0,Acres,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,2.5,0.0,Acres,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Site Stewardship Project,Restored land maintained (C.11.c.1),Acres of restored land maintained (C.11.c.2),,0.0,0.0,Acres,Stewardship,Human
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,1.81,0.00,Miles,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.01,0.00,Miles,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Wetland Project,Wetland planting (C.8.c.1),Acres of wetland planted (C.8.c.3),,5.0,0.0,Acres,Wetland Plants,Habitat
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,7,0,Number,Monitoring,Assessment
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Incidentals,Noxious weed control,Acres treated for noxious weeds by method,,1.15,0.00,Acres,Remove Plants Invasive,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Incidentals,Stewardship plan,Acres included in the stewardship plan,,90.50,0.00,Acres,Stewardship,Human
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Estuarine / Nearshore Project,Debris removal (C.9.n.1),Acres Treated for debris removal (C.9.n.2),,0.7,0.0,Acres,Debris,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Incidentals,Noxious weed control,Acres treated for noxious weeds by method,,3.00,0.00,Acres,Remove Plants Invasive,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Incidentals,Survey (Acq),Acres surveyed,,50.00,0.00,Acres,Survey,Assessment
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,General restoration activities,Restoration fencing and gates,Number of gates,,2,0,Number,Livestock Gates,Exclusion
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,91.50,0.00,Acres,Cultural,Human
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,4.6,0.0,Acres,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Estuarine / Nearshore Project,Contaminant removal / remediation (C.9.m.1),Acres Treated for contaminant removal/modification (C.9.m.2),,1.5,0.0,Acres,Contaminants,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Incidentals,Boundary line adjustment,Number of months required to complete the boundary line adjustment,,3,0,Number,Incidentals,Unspecified
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,General restoration activities,Restoration fencing and gates,Linear feet of fencing,,200,0,Feet,Livestock,Exclusion
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,1.65,0.00,Miles,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Jobs Created,Number of jobs created by this project,,,2.60,0.00,Number,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,20.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,47.50,0.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Real Property Acquisition,Project Acres Acquired,,,93.50,0.00,Acres,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,3,0,Number,Permit,Planning
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Instream Habitat Project,Plant removal/control (C.4.g.1),Acres of Streambed Treated for plant removal/control (C.4.g.4),,1.7,0.0,Acres,Remove Plants Invasive,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Project Acquisition,Project acres by purpose type,,,110.00,0.00,Acres,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,3.36,0.00,Miles,,
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Instream Habitat Project,Plant removal/control (C.4.g.1),Miles of Stream Treated for plant removal/control (C.4.g.3),,0.90,0.00,Miles,Remove Plants Invasive,Waste
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,5.0,0.0,Acres,Riparian,Habitat
11-1358,Skokomish Rvr floodplain acquisition & restoration,A,Active,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,3.00,0.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Fish Passage Improvement,Bridge installed or improved (C.2.g.1),Miles of stream made accessible by bridge installation/repair (C.2.g.3),,1.01,0.33,Miles,Structure Installation,Fish Passage
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Fish Passage Improvement,Bridge installed or improved (C.2.g.1),Number of bridges (C.2.g.2),,3,1,Number,Structure Installation,Fish Passage
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,504.0,223.0,Acres,,
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Yards of Channel Modified/Created (C.9.c.2),,1360,6600,Yards,Channel Connectivity,Habitat
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Fish Passage Improvement,Number of blockages / impediments / barriers impeding passage (C.2.b.4),,,3,1,Number,,
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,4.78,0.33,Miles,,
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,1.0,1.0,Sq Miles,,
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Acres of Estuary Treated (C.9.c.3),,223.0,223.0,Acres,Channel Connectivity,Habitat
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Estuarine / Nearshore Project,Culvert modification / removal (C.9.f.1),Acres Opened To Fish Passage through culvert modification/removal (C.9.f.3),,253.0,150.0,Acres,Remove Culvert,Fish Passage
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Estuarine / Nearshore Project,Culvert modification / removal (C.9.f.1),Number of Culverts Modified/Removed To Allow Fish Passage (C.9.f.2),,19,10,Number,Remove Culvert,Fish Passage
11-1361,Skokomish Estuary Restoration Phase III,R,Closed Comp,SALMON ST PROJ,Jobs Created,Number of jobs created by this project,,,3.60,0.00,Number,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,3.5,3.5,Acres,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Road drainage system improvements and reconstruction (C.6.c.1),Miles of Road Treated for drainage improvements and reconstruction (C.6.c.2),,0.00,0.00,Miles,Infrastructure,Human
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,0.0,0.0,Acres,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,3.5,3.5,Acres,Remove Plants Invasive,Waste
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Planting for erosion and sediment control (C.6.f.1),Acres planted for erosion and sediment control (C.6.f.3),,0.0,0.0,Acres,Upland Plants,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.75,0.75,Miles,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Erosion control structures (C.6.e.1),Number of Erosion/Sediment Control Installations (C.6.e.3),,0,0,Number,Structure Installation,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.00,0.00,Miles,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Road drainage system improvements and reconstruction (C.6.c.1),Average width of road treated for drainage improvements and reconstruction (C.6.c.3),,0,0,Yards,Infrastructure,Human
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Erosion control structures (C.6.e.1),Acres Treated for erosion control (C.6.e.2),,0.0,0.0,Acres,Structure Installation,Waste
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,15,15,Number,Monitoring,Assessment
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,General restoration activities,Traffic control,Number of days of traffic control,,0,0,Number,Infrastructure,Human
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.2,0.2,Acres,In-stream Installation,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,10,10,Number,In-stream Installation,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.75,0.75,Miles,In-stream Installation,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,10,10,Number,In-stream Installation,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,1,1,Number,Permit,Planning
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,5,5,Yards,In-stream Installation,Habitat
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,1.50,0.00,Number,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.75,0.75,Miles,,
11-1362,Tahuya River LWD placement - Phase 2,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,3.5,3.5,Acres,Riparian,Habitat
11-1551,Hood Canal Regional Salmon Recovery,P,Closed Comp,SALMON FED ACT,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1551,Hood Canal Regional Salmon Recovery,P,Closed Comp,SALMON FED ACT,Jobs Created,Number of jobs created by this project,,,4.00,0.00,Number,,
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,46,Number,,
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Architectural & Engineering,Architectural & Engineering (A&E),Percent architectural & engineering,,0.00,12.00,Percent,Miscellaneous,Planning
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,4,4,Number,In-stream Installation,Habitat
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.2,0.2,Acres,In-stream Installation,Habitat
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,4,4,Number,In-stream Installation,Habitat
