Project Description,Performance Summary,Funding Number,Application/Alt Reference Number,"Status
 (I=Inactive/Closed, A=Active)",Funding Fiscal Year,General Project Category,SRF/CBR Project (Needs) Category 1,SRF/CBR Project (Needs) Category 2,SRF/CBR Project (Needs) Category 3,County,WRIA,Leg Dist,Cong Dist,Fund Source,Recipient,Project Title,End Date,Funding Provided,Application Number,Applicant Organization,Project Title,Project Description,Population of the System,Population of the Project,Year of the Population Estimate,ESA_YES_NM,Statewide_PROJ_YES_NM,APP_START_DATE_DT,PROJ_LENGTH_NR,ANT_PROJ_COMP_DATE,INIT_OPER_DATE,Waterbodies Affected,303D List_True_False,303D LISTING_ID1,303D LISTING_ID2,303D LISTING_ID3,303D LISTING_ID4,303D LISTING_ID5,303D LISTING_ID6,303D LISTING_ID7,303D LISTING_ID8,303D LISTING_ID9,303D LISTING_ID10,Addresses Priority Area of Puget Sound Partnership Action Agenda,Area of Puget Sound Partnership Action Agenda Addressed,Affects Endangered Salmonids,Affects Threatened Salmonids,Affects Other Endangered Species,Involves Shellfish Habitat,Involves Domestic Water Supply,Involves Public Health Requirement,Addresses TMDL,Addresses NPDES,Addressing Any Other Needs,Program Plans Being Implemented,GMA Compliance,GMA Compliance Date,Anticipated Date of Reaching GMA Compliance,Wastewater Treatment System,Water Reclamation Reuse,Water Reclaimation Reuse Feasibility Study,Stormwater Pollutant Control Facility,Onsite Repair-Replacement,Combined Sewer Overflow Correction,Other Category of Facility Project,Combined Compr or Gen Sewer or SW Plan with Fac. Plan,Facility Comp. Plan Approval Date,Site Specific Fac. Plan,Site Specific Fac. Plan Approval Date,Facility Design,Facility Design Approval Date,Facility Construction,Facility Construction Approval Date,Facility Design & Construction,Facility Design & Construction Approval Date,Facility Design-Build ,Facility Design-Build Approval Date,Does project address permit requirements,Permit Number,Permit status,Permit BOD Limit,Permit TSS Limit,Facility Design Capacity,Project Involves Reducing A Pollutant Load,Project Improves Dissolved Oxygen,Project Reduces Nitrogen,Project Reduces Phosphorus,Project Reduces Sediment,Project Reduces Fecal Coliform,Project Improves Stream Temp,Other Pollutant Reductions/Improvements,Project Improves Shade,Project Improves Organic Debris,SW_CATEGORY_LID,SW_CATEGORY_Source Control,SW_CATEGORY_RETROFIT,SW_CATEGORY_RETROFIT_LID,SW_CATEGORY_VACTOR WASTE FACILITY,SW_CATEGORY_PRETREATMENT-OIL Control Facility,SW_CATEGORY_Flow Control to Sewers,SW_CATEGORY_TAPE,SW_CATEGORY_OTHER,SW_CATEGORY_READY to Construct,SW_CATEGORY_DSGN Complete,SW_CATEGORY_PRCNT_DESGN_Complete,ACT_Category_AgBMP,ACT_CATEGORY_SW_BMP,ACT_CATEGORY_OTHER_BMPS,ACT_CATEGORY_LAKE Restoration,ACT_CATEGORY_Water Quality Monitoring,ACT_CATEGORY_Riparian Restoration,ACT_CATEGORY_Large Woody Debris,ACT_CATEGORY_Bank Stabilization,ACT_CATEGORY_Public Education,ACT_CATEGORY_OSS Planning-Surveys,ACT_CATEGORY_Groundwater Protection Plan,ACT_CATEGORY_Pilot-Demo,ACT_CATEGORY_Comp Planning,ACT_CATEGORY_OTHER,WATERCAT_Freshwater River,WATERCAT_Freshwater Lake,WATERCAT_Freshwater Wetlands,WATERCAT_Groundwater,WATERCAT_Marine Water,WATERCAT_Saltwater Estuary,WATERCAT_Other Waterbody Types,Latitude,Longitude
"The RECIPIENT, in partnership with several cities in the area, created one Regional Water Pollution Reporting Hotline (hotline) number to serve residents. By building upon previous research and promotional efforts aimed at encouraging use of the hotline, the RECIPIENT will:
•	Identify the most efficient and cost effective methods of publicizing regional water pollution reporting hotlines. 
•	Evaluate the efficacy of various promotional methods, including traditional advertising and emerging technologies. 
•	Increase public awareness of stormwater pollution through the context of reporting water pollution.
•	Provide recommended messaging, materials, and advertising strategies that are transferrable both regionally and statewide. 
The result will be a better understanding of how to communicate with the general public about stormwater issues and reporting illicit discharges in an efficient and cost effective manner.  The RECIPIENT will create quality-tested communication materials and proven-effective promotional methods, which will be made available as a template, for other jurisdictions to use.","Submit progress reports, payment requests, and other required documents. 					
Hire consultant. Assemble project team. Submit copy of contract for consulting services to Ecology.					
Produce a suite of effective messages and communication materials to promote the reporting hotline.  Conduct two focus groups and produce a summary report.					
Conduct outreach to the 275,200 residents within the project area about the reporting hotline and encourage use of the hotline.
Produce a final project report including materials developed, promotional strategies tested, and evaluation results.",G1200465,GG12016,I,2012,Stormwater,,,,KITSAP,15,23,01,FY11-13 Stormwater GROSS,KITSAP COUNTY,Regional Water Pollution Reporting Hotline Promotion-,6/30/13,"$101,611.51",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kitsap County will use the money to update and print the WSU Puyallup Rain Garden Handbook for Western Washington Homeowners in partnership with WSU Puyallup and an advisory committee of local cities, counties, conservation districts, engineers, and landscape professionals.","Required deliverables and achievements are listed.
Effective administration and management of the grant project - Products were delivered and updates were provided regularly.
Select a consultant and assemble a TAC to help with the review of the Rain Garden Handbook - achieved.
Design a draft handbook for review, draft handbook; Focus Group, TAC, WSU and Department review of the Handbook; summarize report and recommendations for design modification - achieved.
Draft simplified Sizing Tool, Finalize the document polishing and graphical layout of the final product; Final Sizing Tool - achieved.
Complete the product and deliver the publish-ready document - finalized the Rain Garden Handbook.
Deliverables for this task are combined with Task 8 -",G1200470,GG12015,I,2012,Stormwater,,,,KITSAP,15,23,01,FY11-13 Stormwater GROSS,KITSAP COUNTY,Rain Garden Handbook Update,6/30/13,"$126,656.32",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"This project will address water quality for the state of Washington.  The Illahee Headwaters drainage area currently drains directly to Puget Sound with no treatment via Illahee Creek. The creek has suffered significant damage due to high storm flows and excessive runoff volumes. This project will utilize bioretention throughout the drainage basin, retrofit of an existing stormwater pond, and include a new enhanced stormwater flow-control and water quality treatment facility.","This project submitted required paperwork to Ecology.
The Project's design plans and specifications were not submitted and approved for Phase II.   Phase II reached 60% design and ran into design challenges that prevented construciton before the agreement's expiration date.
Construciton was not completed, deliverables for Phase I were not met, but not for Phase II.",G1200517,SW12080,I,2012,Stormwater,,,,KITSAP,15,23,01,FY12 Capital Stormwater FY12Proviso,KITSAP COUNTY,Illahee Stormwater LID Retrofit Project,6/30/15,"$241,833.94",SW12080,Kitsap County,Illahee Stormwater-LID Retrofit Project,"The Illahee Headwaters drainage area currently drains directly to Puget Sound with no treatment via Illahee Creek. The creek has suffered significant damage due to high storm flows and excessive runoff volumes. This project will utilize bioretention throughout the drainage basin, retrofit of an existing stormwater pond, and include a new enhanced stormwater flow-control and quality treatment facility.",213000,10780,0,ESA Listed Basin,Puget Sound,40909,36,42005,0,0,303(d) Listed,52892,38658,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central Action Area,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,0,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Stormwater LID,0,Stormwater Retrofit,Stormwater Retrofit and LID Both,0,0,0,0,0,Not Ready to Construct,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,0,0,0,0,Saltwater Estuary,0,47.62,-122.62
Kitsap County Parks will replace three parking lots using a permeable surface at locations adjacent to sensitive lakes and the marine shoreline. This project will provide public educational examples of good water quality protection and alternative surfacing options and the pervious surfaces will be assessed for durability and porosity.,"The required paperwork was submitted to Ecology.
The project's design plans/specifications were submitted and approved.
The required construction paperwork was submitted to Ecology.
Construction was completed.  All deliverables were met.  Installed 0.33 acres of pervious pavers and a sand filter layer at Point-No-Point County Park.  
On 9/9/13, Port Gamble S'Klallam Tribe requested notification when work takes place and strongly recommended archaeological monitoring by a professional archaelogist at Point-No-Point Park.  No such monitoring was provided on site at the time the discovery was made.  As a direct result of the CR challenge experienced at P-N-P, Inadvertent Discovery Plans (IDP) are now being required by Ecology to be on-site throughout construction.  Recipient did an excellent job of getting their deliverables in and were very responsive to communications, especially since the employee representing Kitsap County Parks & Rec worked part-time at the time!",G1200518,SW12082,I,2012,Stormwater,,,,KITSAP,15,23,06,FY12 Capital Stormwater FY12Proviso,KITSAP COUNTY,Pervious Parking Lots,5/1/15,"$735,000.00",SW12082,Kitsap County Parks and Recreation,Kitsap County Parks: Replace and Installation of Pervious Parking Lots,Kitsap County Parks will replace three parking lots using a permeable surface at locations adjacent to sensitive lakes and the marine shoreline. This project will provide public educational examples of good water quality protection and alternative surfacing options and the pervious surfaces will be assessed for durability and porosity.,251133,251133,0,Not an ESA Listed Basin,Puget Sound,41001,30,42004,0,0,0,0,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central Puget Sound,Endangered Salmonid,Threatened Salmonids,0,0,0,0,0,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Stormwater LID,0,0,Stormwater Retrofit and LID Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Lakes,Freshwater Wetlands,Ground Water,0,0,Marine water uplands,47.911682,-122.539616
"This project will address water quality for the state of Washington.  The Manchester Main Street drainage area, which includes residential and commercial land-uses, currently drains directly to Puget Sound with no treatment via a damaged outfall located at a recreational beach and shellfish area. This project will utilize bioretention throughout the drainage basin and include stormwater treatment along with a new outfall.",,G1200522,SW12081,A,2012,Stormwater,,,,KITSAP,15,26,06,FY12 Capital Stormwater ,KITSAP COUNTY,Manchester Stormwater LID Retrofit Project,12/31/15,"$1,000,000.00",SW12081,Kitsap County,Manchester Stormwater - LID Retrofit Project,"The Manchester Main Street drainage area, which includes residential and commercial land-uses, currently drains directly to Puget Sound with no treatment via a damaged outfall located at a recreational beach and shellfish area. This project will utilize bioretention throughout the drainage basin and include enhanced stormwater quality treatment along with a new outfall.",213000,10300,0,ESA Listed Basin,Puget Sound,40909,36,42005,0,0,303(d) Listed,53109,52997,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,North Central Action Area,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,0,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Stormwater LID,0,0,Stormwater Retrofit and LID Both,0,0,0,TAPE-approved GULD treatment technologies,0,Not Ready to Construct,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,Saltwater Estuary,0,47.56,-122.55
This project will address water quality for the state of Washington.  TAPE GULD approved units will be installed in the County right-of-way to treat stormwater runoff in Silverdale. This project will result in the reduction of stormwater pollutants introduced to north Dyes Inlet estuary and will provide water quality benefits to downstream shellfish beds and the nearshore estuary area.,TAPE GULD approved Filterra® treatment units were installed in the County right-of-way to treat road stormwater runoff from a high vehicle use roadway in Silverdale.  This project will reduce the amount of stormwater pollutants including fecal coliform into Dyes Inlet estuary and provide water quality benefits to downstream shellfish beds and the nearshore estuary area.  All required documentation as completed and submitted to Ecology.,G1200529,SW12079,I,2012,Stormwater,,,,KITSAP,15,46,01,FY12 Capital Stormwater ,KITSAP COUNTY,Silverdale Way LID Planters,6/30/15,"$258,000.00",SW12079,Kitsap County,Silverdale Way LID Planters,"Filterra® units will be installed in the County right-of-way to treat commercial and road stormwater runoff in Silverdale. This project will reduce fecal coliform and other co-migrating stormwater pollutants into north Dyes Inlet estuary, providing water quality benefits to downstream shellfish beds and the nearshore estuary area.",17000,17000,0,ESA Listed Basin,Puget Sound,41122,29,42004,0,0,0,0,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,0,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,Stormwater Retrofit,Stormwater Retrofit and LID Both,0,0,0,TAPE-approved GULD treatment technologies,0,Not Ready to Construct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,0,0,0,0,Saltwater Estuary,0,47.6529,-122.6912
"This project will address water quality by eliminating stagnant water that backs up in tidally influenced storm piping creating a septic condition, eliminating excessive sediment accumulation and fecal matter from otters that inhabit the tidally-influenced section of storm piping and structures and reducing erosion and other pollution from the roadway which is overtopped during storm events.",,G1200546,SW12002,A,2012,Stormwater,,,,KITSAP,15,23,01,FY12 Capital Stormwater FY12Proviso,BAINBRIDGE ISLAND CITY OF,Lynwood Center Outfall Improvement Project,9/30/15,"$202,910.00",SW12002,"Bainbridge Island, City of",Lynwood Center Outfall Improvement Project,"The proposed work consists of installing a backwater prevention device (duck bill valve) at a tidally influenced shoreline outfall and providing upstream open and closed conveyance system improvements. The project will improve water quality by: 1) eliminating stagnant water that backs up in the tidally influenced storm piping creating a septic condition, 2) eliminating excessive sediment accumulation and fecal matter from otters that inhabit the tidally-influenced section of storm piping and structures, and 3) reducing erosion and other pollution from the roadway which is overtopped during storm events.",200,2000,0,ESA Listed Basin,Puget Sound,41030,17,41579,0,0,303(d) Listed,45857,0,0,0,0,0,0,0,0,0,0,0,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,Step 4: Design & Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,Stormwater Retrofit,0,0,0,0,0,0,Not Ready to Construct,Design is not 100% complete,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,0,0,0,0
"Kitsap Transit will construct a park and ride using low impact development (LID) techniques for porous pavement, bioretention facilities (rain gardens), and other approved stormwater management techniques.",,G1200551,SW12073,A,2012,Stormwater,,,,KITSAP,15,23,01,FY12 Capital Stormwater ,KITSAP COUNTY,Poulsbo P&R Stormwater LID Project,12/31/15,"$488,164.00",SW12073,Kitsap County/Kitsap Transit,Poulsbo P&R Stormwater LID Project,"Kitsap Transit will construct a park and ride serving the SR 305 corridor, with direct service to Bainbridge Ferry Terminal using LID techniques for porous pavement, rain gardens, and other DOE Stormwater Manual techniques. The site will have an on-site transfer station with pedestrian facilities, canopy, sidewalks, lighting, solar trash cans, bicycle lockers, electric vehicle charging for 19 vehicles, and a green-built public amenities building for restrooms and special services.",193400,8149,0,ESA Listed Basin,Puget Sound,41061,18,42004,0,0,303(d) Listed,38539,0,0,0,0,0,0,0,0,0,0,0,0,Threatened Salmonids,0,Shellfish Habitat,0,0,0,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Stormwater LID,0,0,0,0,0,0,0,Green building for public restrooms and special services,Not Ready to Construct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freshwater Rivers,0,Freshwater Wetlands,0,Direct Marine Water,0,0,47.749605,-122.654335
"The Cedar Heights Junior High Sidewalk Project involves installing improvements to the existing storm water system, capturing the water that currently flows to Puget Sound and diverting that flow to a closed depression infiltration system.","The project added new pervious sidewalks adjacent to a junior high school, removed flooding from the area, and retrofitted an existing stormwater system. The existing sytem had aedditional catch basins installed, new pipe and was directed to a bioswale before discharging to a closed depression for infiltration. This retrofit also removed a flooding issue that would occur in the area when there were periods of heavy rainfall. The pervious sidewalks allow low impact development, yet a safe location for students and pedestrians in the area. The project was completed as it was presented.",G1200586,SW11009,I,2011,Stormwater,,,,KITSAP,15,23,06,FY11 Capital Stormwater FY12Proviso,"PORT ORCHARD, CITY OF",Cedar Heights Junior High Sidewalks,12/31/13,"$62,382.26",SW11009,"Port Orchard, City of",Cedar Heights Junior High Sidewalks,"The Cedar Heights Junior High Sidewalk Project involves installing improvements to the existing storm water system, capturing the water that currently flows to Puget Sound and diverting that flow to a closed depression infiltration system, and installing sidewalks.",0,10814,0,ESA Listed Basin,Puget Sound,40575,9,40787,40432,0,Not 303(d) Listed,0,0,0,0,0,0,0,0,0,0,Project addressing an area from PSP Action Agenda,0,0,0,0,0,Domestic Water Supply,0,0,NPDES Addessed,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ground Water,0,0,Closed Depression Storm Pond,47.5165,-122.6532
"This project will reduce stormwater pollutants to Liberty Bay from city streets and parking areas in downtown Poulsbo through the use and installation of pervious pavement, rain gardens, and stormwater filtration units.  Liberty Bay is 303(d) listed for bacterial pollution and this retrofit will help accomplish the goals of the Liberty Bay TMDL project","This project accomplished the following:
Required paperwork submitted to Ecology.
Project design plans and specificaiton wre submitted and approved.
Required construciton paperwork submitted to Ecology.
Construction of the bioretention cells and TAPE GULD stormwater infiltration units was completed.  Pervious pavement was not installed due to unsuitable soil conditions.
Web page was submitted to Ecology.",G1200599,SW12026,I,2012,Stormwater,,,,KITSAP,15,23,01,FY12 Capital Stormwater ,"POULSBO, CITY OF",Central Business District Stormwater Retrofit,6/30/15,"$354,071.07",SW12026,"Poulsbo, City of",Central Business District Stormwater Retrofit,This project will reduce fecal coliform bacteria loading and other stormwater pollutants to Liberty Bay from 3.58 acres of city streets and parking areas in downtown Poulsbo.  Liberty Bay is 303(d) listed for bacterial pollution and this retrofit will help accomplish the goals of the Liberty Bay TMDL project.,9245,9245,0,ESA Listed Basin,Puget Sound,41000,18,41548,0,0,303(d) Listed,23707,10268,0,0,0,0,0,0,0,0,0,0,Endangered Salmonid,Threatened Salmonids,0,Shellfish Habitat,0,0,TMDL Addessed,0,0,0,0,0,0,0,0,Not a Feasibility Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Stormwater LID,0,Stormwater Retrofit,Stormwater Retrofit and LID Both,0,0,0,TAPE-approved GULD treatment technologies,0,Ready to Construct,Design is not 100% complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Direct Marine Water,Saltwater Estuary,0,47.73545,-122.64548
